Wall time,Step,Value
1748850776.5134127,50,0.05999999865889549
1748850914.9088066,100,0.07999999821186066
1748851085.8054154,150,0.07999999821186066
1748851211.3151867,200,0.05999999865889549
1748851315.3182507,250,0.1599999964237213
1748851409.503643,300,0.1599999964237213
1748851512.5249038,350,0.10000000149011612
1748851650.616665,400,0.11999999731779099
1748851772.8504388,450,0.14000000059604645
1748851976.6094143,500,0.2800000011920929
1748852103.177282,550,0.14000000059604645
1748852357.0748827,600,0.1599999964237213
1748852533.5271893,650,0.20000000298023224
1748852755.2389066,700,0.25999999046325684
1748852978.3094866,750,0.23999999463558197
1748853222.6021123,800,0.20000000298023224
1748853549.9630556,850,0.23999999463558197
1748853838.7811317,900,0.3199999928474426
1748854105.4844825,950,0.3799999952316284
1748854341.7139008,1000,0.4399999976158142
1748854597.651143,1050,0.41999998688697815
1748854905.2816558,1100,0.5400000214576721
1748855175.4725368,1150,0.41999998688697815
1748855439.8429747,1200,0.6600000262260437
1748855675.1273658,1250,0.7599999904632568
1748855859.4793346,1300,0.5199999809265137
1748856098.1727338,1350,0.7799999713897705
1748856232.6744184,1400,0.4399999976158142
1748856411.54141,1450,0.6800000071525574
1748856563.6742444,1500,0.5
1748856758.6891737,1550,0.5199999809265137
1748856934.3111694,1600,0.5400000214576721
1748857082.0352273,1650,0.7200000286102295
1748857286.337002,1700,0.7599999904632568
1748857503.3724015,1750,0.6000000238418579
1748857685.5337365,1800,0.7200000286102295
1748857863.3217258,1850,0.6399999856948853
1748858071.0326834,1900,0.699999988079071
1748858277.632235,1950,0.699999988079071
1748858479.9643881,2000,0.7400000095367432
1748858678.3267019,2050,0.5
1748858835.4317627,2100,0.6200000047683716
1748859021.0322945,2150,0.6399999856948853
1748859220.200936,2200,0.699999988079071
1748859449.9158952,2250,0.6600000262260437
1748859591.7118177,2300,0.5199999809265137
1748859748.3273215,2350,0.6200000047683716
1748859892.1993866,2400,0.6000000238418579
1748860062.7363696,2450,0.5199999809265137
1748860262.1923802,2500,0.5600000023841858
1748860459.3687363,2550,0.7400000095367432
1748860660.7671018,2600,0.6200000047683716
1748860861.675609,2650,0.5799999833106995
1748861032.7137268,2700,0.699999988079071
1748861211.009242,2750,0.6200000047683716
1748861378.57765,2800,0.7400000095367432
1748861565.6580243,2850,0.7400000095367432
1748861740.6519098,2900,0.5799999833106995
1748861916.5317554,2950,0.6600000262260437
1748862084.3384202,3000,0.5400000214576721
1748862228.4920044,3050,0.46000000834465027
1748862397.4688702,3100,0.6800000071525574
1748862557.7649605,3150,0.7799999713897705
1748862697.4009545,3200,0.6000000238418579
1748862923.6408203,3250,0.7799999713897705
1748863067.168874,3300,0.47999998927116394
1748863249.648371,3350,0.7799999713897705
1748863420.3488574,3400,0.6200000047683716
1748863594.6310697,3450,0.7599999904632568
1748863782.1784482,3500,0.6800000071525574
1748863929.573641,3550,0.699999988079071
1748864107.5416965,3600,0.699999988079071
1748864274.5990694,3650,0.5799999833106995
1748864440.9343326,3700,0.800000011920929
1748864610.7346232,3750,0.7400000095367432
1748864792.888298,3800,0.699999988079071
1748864965.725289,3850,0.8199999928474426
1748865144.4370782,3900,0.6800000071525574
1748865305.221645,3950,0.7400000095367432
1748865479.4125333,4000,0.7599999904632568
1748865658.8834226,4050,0.6800000071525574
1748865814.9425793,4100,0.6800000071525574
