Step,Value
25,1.3377022743225098
29,1.3131330962479113
30,1.2878192131608723
31,1.2649312362663148
39,1.2412316707949194
47,1.2180601120011751
50,1.1953143170790286
51,1.172144480247307
52,1.1507479870766681
56,1.128961733799306
63,1.1074819679654688
64,1.0864247633551667
67,1.066547528899154
71,1.0467599608764173
89,1.0274946185648262
90,1.0083406309133591
91,0.9897770544935172
93,0.9713915097045825
94,0.9535215319873261
97,0.9355641896275422
106,0.918011810566265
108,0.9007237163301041
110,0.8839933176808968
111,0.8677897341026809
113,0.8519266192847954
114,0.8363035857518293
116,0.8203832677297773
118,0.8053126978742204
119,0.7904995617677549
126,0.7758781229865138
130,0.7617649465405298
131,0.748031589439639
137,0.7342550233653247
138,0.7211778885759947
139,0.7078181050325708
145,0.6949765139582923
147,0.6822490409948336
148,0.6698749617357203
154,0.6575476415462062
176,0.6450876946753888
185,0.75072003845339
187,0.8743549296765099
189,0.9955839374977746
200,1.1152395099532637
202,1.2314481417665275
203,1.3504611276311482
215,1.4816370914646337
219,1.6135736016495013
222,1.7447820299766188
225,1.8527882200503043
227,1.9944450334691226
235,2.0988626208368495
240,2.232721321178902
246,2.363475067362746
248,2.4707036567595098
250,2.6250103439697785
252,2.7834280104729516
257,2.9273674901194497
258,3.0384426950961134
259,3.1868733269729996
260,3.3223275260829537
262,3.452930669622574
269,3.6050959064803667
274,3.759852566079031
279,3.908175393144902
282,4.056632616635764
287,4.203807955330881
288,4.346728847463277
298,4.489607254980564
306,4.633455456408052
313,4.7752372406819905
317,4.881959363544132
319,5.0227906734045975
330,5.157489698498518
331,5.299729480486799
332,5.448607289253528
333,5.578925953099805
335,5.711762564653044
344,5.841221962102659
345,5.990112854891856
348,6.108278489487134
352,6.244479275593388
355,6.366248282305642
363,6.496326022805769
373,6.600862221313276
376,6.713770819172168
377,6.834969645952786
380,6.9630689323855375
382,7.0769237608606295
383,7.184774514464218
384,7.290817889073615
385,7.404833474804105
387,7.506463138926187
393,7.620510283008015
397,7.733676153855423
399,7.836991789408685
401,7.948101665992338
403,8.043153686017218
406,8.107691289024169
410,8.200317698534214
413,8.309446453511283
423,8.406657792995746
428,8.491311483296721
430,8.58039091235271
435,8.674826966938909
437,8.755097898913608
439,8.844554160845004
451,8.92845338753411
462,9.02869331407664
466,9.110828397837833
467,9.187579744462376
469,9.279020772711556
471,9.369478241015871
472,9.434045367937497
478,9.503350052467175
482,9.56685910122252
487,9.63237763590339
493,9.696503535944112
500,9.742252210495005
507,9.799218937677926
509,9.847257672175099
520,9.901683330193999
521,9.952317399643585
523,10.005615621810627
524,10.048240068560204
526,10.087206450050328
528,10.137895106083501
530,10.186509655744059
533,10.217368696027616
545,10.24396507821058
550,10.284704291661017
551,10.331789613329017
552,10.38245999629437
555,10.401918779003982
563,10.431208265209792
566,10.471806435721026
578,10.500474059142837
583,10.502851891802754
588,10.52077638320254
590,10.54464666791642
593,10.570144363372789
594,10.582111475037218
597,10.602941875083593
599,10.612631694808483
601,10.626966909575643
602,10.653227772800145
603,10.650133863248683
604,10.659892931436591
613,10.665792820610594
614,10.68748430749062
615,10.72863513403612
616,10.737042320271412
617,10.745118913898942
627,10.747673830085075
629,10.75326143014353
633,10.760907726504039
634,10.764571617719808
636,10.774925441407893
643,10.787366080528953
654,10.784049274207682
665,10.788281141964495
670,10.76957240389083
671,10.761589364931666
672,10.758222449611793
673,10.754211298043872
686,10.735444763885972
688,10.72217542091538
689,10.7117823771272
692,10.698109817048035
702,10.694459758310833
708,10.67675773508065
713,10.662130604213266
714,10.64507894061533
727,10.62965182240483
728,10.622903379004828
729,10.613278620598317
739,10.60079316903596
740,10.584896060995817
752,10.556606629003195
760,10.543292165337926
763,10.520912344980387
765,10.491915912045624
773,10.47123105526101
782,10.448420794965115
793,10.445610597449601
794,10.43389881732434
802,10.405498875188059
803,10.385663815286836
804,10.360105251658101
805,10.366021928668397
826,10.336986669233212
847,10.309092017177894
863,10.286946698745957
864,10.256421597626263
870,10.259663183679109
872,10.23927105983707
874,10.21662503530781
889,10.19013549495932
890,10.151590582301344
900,10.12277235174052
909,10.091798342388815
914,10.055795677085229
917,10.025259063470282
920,10.003275419981637
926,9.974393974539769
928,9.937073339006492
933,9.903364411594039
934,9.883743626047705
937,9.85068550996596
946,9.807085381614785
948,9.778716939821111
951,9.752361560833037
954,9.720940237514325
961,9.68792554653357
964,9.666289533161493
969,9.635725144628388
973,9.612653357189922
977,9.591128649268535
980,9.566051872486778
981,9.549107761459162
987,9.529883647611813
989,9.506860304035797
995,9.483581847344729
996,9.46107861783802
997,9.434754346201473
999,9.402352031570533
1002,9.376251630953771
1004,9.35150749356785
1007,9.318730340141194
1012,9.298818250123038
1017,9.270606939823336
1018,9.255270656281997
1019,9.230521059043808
1020,9.194561856277238
1024,9.165675406596762
1028,9.136793260616926
1035,9.112504661029588
1044,9.095839284605871
1046,9.073761556836118
1048,9.05659475923211
1056,9.033044736987533
1061,9.012142247933207
1062,8.994051254628596
1069,8.972267363172499
1070,8.933722160486075
1072,8.907011342230577
1073,8.889992884337381
1077,8.864788403619016
1079,8.851762712298346
1081,8.83236131577943
1091,8.823970658372533
1093,8.807843608791508
1096,8.792025996716996
1097,8.773115274908877
1102,8.75345119481353
1115,8.73276916814016
1116,8.714313726412488
1119,8.700462918650596
1123,8.677107213286616
1125,8.663211828054086
1126,8.63785478181588
1132,8.61976127756445
1137,8.598822112422706
1138,8.574234080742489
1140,8.555083393039382
1146,8.53896206041419
1159,8.527748401481299
1160,8.503686134028456
1164,8.484381873933335
1167,8.471368678745929
1170,8.456617074976919
1180,8.490858165636803
1183,8.47956230168625
1184,8.461661119129088
1192,8.447499679812303
1194,8.441875320218742
1195,8.433455351503577
1204,8.409433976254512
1214,8.397362478507375
1220,8.380353568170626
1221,8.369104252468224
1225,8.359666875289342
1233,8.347457640032701
1240,8.328569409854728
1241,8.31490995174186
1242,8.292767436224478
1249,8.281410359442127
1251,8.2610827027141
1252,8.240792441329496
1253,8.225939637623146
1275,8.199045795279618
1276,8.184145403818606
1279,8.164252883849533
1281,8.148324517533016
1282,8.131546801291243
1284,8.112778284393837
1294,8.094059543886013
1296,8.076030739482903
1300,8.065845173368782
1302,8.049414811267983
1317,8.034564973294577
1321,8.01949157849177
1322,8.007767413502135
1325,7.991542233383948
1343,7.97863700021224
1345,7.963015771591052
1346,7.952757588575003
1351,7.932634045003577
1367,7.914347250791738
1368,7.902829533757471
1372,7.879521668973434
1374,7.86118785600107
1375,7.849088038395209
1379,7.837699920815781
1381,7.826348678136769
1382,7.8102875840143415
1383,7.794301520749582
1394,7.783426505272945
1413,7.766082855767461
1419,7.75013441528114
1421,7.735202728028374
1424,7.7266727037717615
1427,7.706207166566443
1437,7.689234865352423
1439,7.669808059128139
1446,7.624475948620014
1448,7.606273663000275
1453,7.593058254437535
1457,7.580223282967559
1464,7.564288296678325
1468,7.545313855818001
1469,7.526479388470317
1480,7.510492161006697
1488,7.502531253486026
1490,7.484424025938278
1501,7.469660596154986
1510,7.454802000702223
1511,7.436561368403022
1512,7.4207834891947515
1518,7.40514521465927
1520,7.3859166122764845
1523,7.3696092316453345
1530,7.351647465026954
1538,7.341032839243261
1542,7.330706389840597
1544,7.313567197575402
1550,7.307086550721673
1551,7.296255717534387
1552,7.279173519672346
1565,7.268883294594451
1566,7.255103700754564
1573,7.245131726989716
1585,7.2297039421508495
1588,7.2087597942618125
1591,7.193179845645252
1595,7.175559830504198
1599,7.196041000684885
1602,7.183637056891891
1607,7.168615009647486
1610,7.155973109539985
1615,7.141352697489567
1617,7.130780139160503
1621,7.117542597671849
1628,7.099673633535795
1629,7.086871569022427
1631,7.075069993507457
1633,7.060883609430154
1634,7.0452616975870095
1644,7.032221091473404
1651,7.014359128902969
1654,6.997744317235554
1660,6.983337555204198
1664,6.974868847923356
1678,6.9603358798394
1682,6.949350187709531
1683,6.934269176463276
1689,6.921234551677296
1697,6.914268486437208
1701,6.911096432290739
1708,6.900483422788601
1711,6.886867541716862
1724,6.880659741434894
1732,6.869391599325311
1734,6.858985712376646
1736,6.847046924871667
1747,6.832468676346157
1752,6.820888692162495
1753,6.809351842544099
1756,6.798879040999003
1759,6.788163625248603
1769,6.782414791372782
1773,6.776190762360511
1776,6.7673908183443805
1786,6.757543251840164
1790,6.749887608895035
1801,6.746800476452853
1821,6.753568196553312
1827,6.763357195628838
1830,6.758567995136671
1838,6.753239927470267
1839,6.742549299224207
1841,6.735280672553687
1847,6.727533553289014
1848,6.719516991338834
1854,6.716930755363375
1857,6.70841436010474
1859,6.696806612148251
1862,6.69236919053761
1865,6.688103649149343
1868,6.681026079721654
1873,6.672352409857568
1877,6.668565329082902
1879,6.660415294016137
1884,6.657937578956127
1886,6.648050454803152
1889,6.644983912107235
1892,6.640886914834328
1893,6.635330719811567
1896,6.628109277687065
1910,6.616864059143822
1917,6.614494105078865
1918,6.624620290100701
1923,6.61913135376585
1931,6.617409060323956
1934,6.614041830426681
1936,6.609657169202669
1937,6.610257976853162
1940,6.607499638528867
1942,6.603003454352039
1943,6.603372975490218
1949,6.603840601658514
1953,6.601182630033669
1954,6.600084890290052
1957,6.599511233942381
1960,6.599594754991072
1968,6.605712944424942
1972,6.609064765248358
1979,6.6110137952607735
1982,6.614313929893278
1987,6.621758438572635
1995,6.627331206278844
2000,6.630102060333199
2001,6.632614269309641
2003,6.635841328863633
2013,6.636567371472762
2014,6.640201542613253
2016,6.642563317577639
2028,6.643526567293591
2029,6.64604967455856
2031,6.647214507941167
2032,6.649888189202632
2038,6.651670889590943
2041,6.654431930188407
2045,6.662065451923994
2050,6.661257852983781
2055,6.6615336629498625
2061,6.664293466299142
2063,6.6673902721440585
2066,6.67069609028211
2070,6.665499941913968
2078,6.66853055167249
2080,6.669777107158206
2081,6.667193485181057
2094,6.671175484084004
2100,6.668772377310649
2101,6.675720501923249
2110,6.679720406536273
2112,6.683782610801788
2113,6.683839601713193
2123,6.684068468400852
2128,6.680446560626463
2129,6.6829173699382265
2130,6.681621798342074
2134,6.686100524560901
2135,6.689693043488628
2138,6.6882839024674885
2153,6.6883477894663566
2157,6.684461471799588
2161,6.681686472710276
2165,6.6844485695957925
2167,6.687904983946065
2169,6.6882639535115285
2176,6.692220661211928
2181,6.696460850343646
2184,6.701247787435284
2186,6.700843370398125
2188,6.701014744948782
2191,6.70108318563025
2192,6.702813103109662
2197,6.7070205625135335
2198,6.7091635394010805
2201,6.712766227856833
2209,6.706772335947401
2213,6.712863186606993
2214,6.714223884758399
2220,6.710215676975951
2222,6.713851043154449
2224,6.714918193815408
2225,6.7179029262525765
2229,6.717399008962877
2230,6.720907970006764
2234,6.719680070540101
2235,6.744500450757717
2236,6.743306778488779
2248,6.7471796661276215
2250,6.753458015706681
2263,6.756639683181853
2266,6.754448402579739
2270,6.7392654880712355
2273,6.742041537715329
2280,6.746462877752648
2294,6.755321891147911
2295,6.7561827175003675
2301,6.763691013528779
2303,6.765372044408716
2319,6.7661612526904635
2320,6.769335733096249
2325,6.770669847444334
2329,6.778015621027674
2331,6.785329330137272
2332,6.784267452167949
2333,6.788220755926104
2334,6.791198320406581
2336,6.792641371362952
2337,6.800974296804345
2338,6.80377212120151
2342,6.801694443364881
2347,6.808876668541774
2354,6.8102925571069735
2356,6.809314090532095
2357,6.8134777595118585
2360,6.815405015997647
2361,6.820134475186972
2374,6.825479784874516
2375,6.8266997862687
2386,6.833433946594962
2390,6.839378402047218
2398,6.845673824652636
2399,6.835933600265296
2406,6.837633059134624
2407,6.843007864153713
2409,6.851437223319614
2417,6.853229746934887
2420,6.858390131396824
2422,6.879102615939298
2426,6.886413523215239
2431,6.89173968085152
2437,6.892264357601921
2444,6.896056739059502
2445,6.89617415370153
2447,6.90032604713812
2450,6.902048635005782
2453,6.907021397123171
2457,6.903799487247114
2460,6.908666479222142
2461,6.910930094599247
2462,6.9036879503030875
2468,6.899635044339628
2474,6.9046640128406525
2479,6.904455664148171
2481,6.898118612709079
2488,6.8975052642738675
2493,6.905019426719103
2494,6.902948672660429
2496,6.906495848880683
2502,6.90747361699218
2505,6.895754751494378
2507,6.876669536225233
2513,6.875363181023189
2518,6.870481316038591
2519,6.873039999120285
2521,6.86934550696869
2524,6.869328029278657
2529,6.86639048335678
2543,6.866499731184762
2550,6.863152318653351
2569,6.862400798388072
2573,6.854710659007225
2577,6.85024547796209
2579,6.844144775632461
2581,6.837658370216857
2585,6.834643787330953
2589,6.828555083337264
2590,6.8273211627618275
2591,6.8235471565750725
2594,6.823908689105802
2598,6.820906400714922
2600,6.820118413005188
2609,6.815517764410612
2613,6.815651272037439
2614,6.809053345931407
2615,6.807229931676963
2616,6.798575834447233
2621,6.800917945001331
2622,6.796998947520981
2634,6.796321352985235
2640,6.788722457740105
2645,6.783711443949073
2650,6.77919455607351
2652,6.781299864399672
2654,6.77801994407701
2659,6.777339077055822
2662,6.799306648313167
2672,6.801183283520121
2673,6.795421620794666
2679,6.793249112145863
